Windfarm,Mean,Variance,Skewness,Best Fit Model,Power Output (MWh)
ALBANY_WF1,8.27569045174538,15.025990126173948,0.5740963431662679,gengamma,8.272313315155907
ARWF1,6.8101180698151955,11.47145724991989,0.31432009780426556,gengamma,97.67462034540677
BADGINGARRA_WF1,7.128700804243668,8.749134498777586,0.15814374642239118,burr,57.56981369045074
BALDHWF1,7.653503878621947,14.24293869249009,0.4933105506769026,gengamma,45.656097392692274
BLUFF1,7.3384134725074155,10.420780679371306,0.5168329141245993,gengamma,16.69427780018858
BOCORWF1,6.405464579055442,10.53014724309854,0.6561476496962781,gengamma,32.47243599410344
BODWF1,6.513424024640657,8.826690754380607,0.2061143620043933,gengamma,42.02720604130341
CAPTL_WF,6.761024412502853,12.663272336387829,0.8222637823205289,gengamma,37.48080266250098
CATHROCK,8.044631958704086,12.680534543988909,0.6003480067326182,burr,26.012180082746134
CHALLHWF,7.3233326203513585,11.082800128811568,0.3511659955703782,gengamma,16.577403103434165
CHYTWF1,5.837523243212411,11.031627288844875,0.5515059817253446,gengamma,14.626270393015131
CNUNDAWF,7.7367321184120454,11.501414137000577,0.4170737530103156,burr,17.203616400096905
COLLGAR_WF1,6.785207335158567,8.39847743533748,0.15154323716971876,gengamma,71.09699266294915
COLWF01,7.002667265571525,11.446368717031355,0.5407003485983845,gengamma,71.44000724209032
COOPGWF1,6.557829968058408,6.957775937778622,0.16109481940547257,gengamma,160.68161213246782
CROOKWF2,7.6066258840976495,12.377373018148175,0.6608223574071301,gengamma,43.19743988648156
CROWLWF1,6.84799880219028,9.21405447684091,0.3208950252166937,gengamma,27.943678125118943
CRURWF1,5.773017339721651,8.75187803631809,0.54734224796071,gengamma,39.240467074927594
CTHLWF1,11.914013803331052,26.749130578294523,0.17400942371993555,gengamma,102.71229682020768
DUNDWF1,7.4080438626511524,11.182464448680678,0.4831207755450467,weibull_min,81.83263495106326
DUNDWF2,7.4080438626511524,11.182464448680678,0.4831207755450467,weibull_min,22.503974611542397
DUNDWF3,7.4080438626511524,11.182464448680678,0.4831207755450467,weibull_min,59.328660339520866
GRANWF1,7.2593342174309825,16.862054001463207,0.38910448210668974,gengamma,38.35170067583965
GULLRWF1,7.545102241615331,12.582919160206016,0.5837754303732968,gengamma,61.61491097975273
GULLRWF2,7.402326460187087,11.276184096766208,0.388577396452466,gengamma,49.61358798301971
GUNNING1,7.2297360540725535,12.773967793382967,0.7841370649390864,burr,16.59227511614161
HALLWF1,7.3384134725074155,10.420780679371306,0.5168329141245993,gengamma,30.049700040339445
HALLWF2,7.3384134725074155,10.420780679371306,0.5168329141245993,gengamma,22.704217808256473
HDWF1,6.923419318959617,9.123745781734922,0.4109789437655843,gengamma,41.08000700054609
HDWF2,6.923419318959617,9.123745781734922,0.4109789437655843,gengamma,41.08000700054609
HDWF3,6.923419318959617,9.123745781734922,0.4109789437655843,gengamma,44.93125765684728
LGAPWF1,6.404731063198721,9.849143813139573,0.34081631865245443,gengamma,49.938044408406036
LKBONNY1,7.7367321184120454,11.501414137000577,0.4170737530103156,burr,29.25598563620796
LKBONNY2,7.7367321184120454,11.501414137000577,0.4170737530103156,burr,56.81903371027964
LKBONNY3,7.7367321184120454,11.501414137000577,0.4170737530103156,burr,13.936744117615762
MERCER01,7.8572558749714805,14.295150261244862,0.6567049089040821,gengamma,52.725956911227684
MEWF1,5.841674937257586,8.014048215575372,0.16816510596523335,burr,37.55839682989744
MTGELWF1,6.790897644307552,11.753190520095979,0.6549333862437103,weibull_min,22.14084292578196
MTMILLAR,7.058742157198266,11.22098808387073,0.6832931225575106,gengamma,20.60281498721356
MUSSELR1,8.714371292493727,21.545394602445327,0.5913888767496029,gengamma,73.74727743997545
MUWAWF1,6.971766626739676,8.264582874637993,0.3222579828143883,gengamma,100.94800498329181
MWF_MUMBIDA_WF1,7.126086869723933,9.040187724714661,0.16752483038179533,burr,20.05464078667848
NBHWF1,7.3384134725074155,10.420780679371306,0.5168329141245993,gengamma,42.06958005647523
OAKLAND1,7.400270933150811,10.813958941539331,0.4907497965594942,gengamma,21.682482655778504
SALTCRK1,7.398563483915127,11.151535413606114,0.4858818315308081,gengamma,21.140285448545818
SAPHWF1,6.4779406228610545,10.209904400307346,0.34460004157169083,gengamma,82.7882722236941
SNOWNTH1,6.373774241387178,8.887322248371401,0.4420744110932802,gengamma,32.80790678181374
SNOWSTH1,6.373774241387178,8.887322248371401,0.4420744110932802,gengamma,33.65910003650414
STARHLWF,7.50032226785307,13.760422611749181,0.4331267677312248,gengamma,12.142789773419572
STWF1,7.171593799908737,8.180734673183096,0.3019079712253544,burr,83.44220072904325
TARALGA1,6.009227555327401,13.425613042674424,1.0315266598340198,gengamma,28.671154728511468
WATERLWF,7.410479836869725,11.24448249705523,0.8062942387929254,burr,40.54517409049776
WGWF1,7.47400767168606,11.356014837780526,0.6409638807391286,burr,52.40123513358193
WOODLWN1,7.155571526351815,13.68134187618674,0.8855293681552631,gengamma,14.414897957034352
WOOLNTH1,10.041478154232262,19.414546277870926,0.2626571056626264,weibull_min,77.147033246993
WPWF,7.926569273328771,12.748039195492103,0.38415446222423694,weibull_min,34.19242387598463
WRWF1,6.583828428017339,10.469054003303187,0.48335722231707196,gengamma,71.68480047589478
YANDIN_WF1,6.894088381245723,7.557522971141528,0.12765198630047245,burr,95.48005539622423
YSWF1,7.6341419974903015,16.60956281619309,0.6352080184118459,gengamma,12.00910992336646
